# char|        |         | char| mJy*km/s|    |char|char|char|char|     Miotello |     Miotello |      Miotello|    | ouble| Meath|  det|ong| mJy  |    M_sun| (M_Earth)|  (L_sun)|
# |        |         |	   |         |    |    |    |    | Meg|              |              |              |    |      |(Megan|     |   |      |   (Anna)|  (Megan))| (Carlo))|
# N/A|        |         |     |  N/A    | N/A|    | N/A| N/A|    |              |              |              |    | 1e+20|      |     |   |      |         |          |         |
source ID_ALMA CODE lF13 F13 e13 lF18 F18 e18 mgas M_gas[M_sun] Min_gas[M_sun] Max_gas[M_sun] d mstar Md CN i F_dust M_dust M_d L_star logMgas l_Mgas Dp_Mg Dn_Mg
Sz65 M4 I_4 . 590.0 61.0 . 420.0 104.0 1.6 0.0006435 0.0002 0.0015 150 0.76 15.20 0 0 64.49 2.14e-05 15.20 0.832 -3.201596746315134 . 0.21664429891046275 0.21456215514767374
Sz66 M23 I_5 . 153.0 46.0 < 114.0 38.0 0.2 1e-05 1e-05 2.8e-05 150 0.31 3.47 1 -99 14.78 4.6e-06 3.47 0.2 -5.008804429902588 . 0.21038155518154159 0.19151132719173175
J15430131-3409153 G25 I_10 < 189.0 63.0 < 231.0 77.0 <1.0 0.000356 0.0 0.0 150 -99.0 <0.28 0 -99 0.01 1e-07 <0.28 -99.0 -4.7477035126823735 < 0.14315456428412698 0.14315456428412698
J15430227-3444059 G26 I_11 < 168.0 56.0 < 198.0 66.0 <1.0 0.000306 0.0 0.0 150 -99.0 <0.24 0 -99 0.22 1e-07 <0.24 -99.0 -4.801396401381471 < 0.14315456428412787 0.14315456428412787
J15445789-3423392 M43 I_12 < 99.0 33.0 < 120.0 40.0 <0.3 0.00018725 0.0 0.0 150 0.12 <0.17 0 -99 -0.05 -99.99999 <0.17 0.016 -5.042476696296204 < 0.14315456428412787 0.14315456428412787
J15450634-3417378 G27 I_13 . 338.0 84.0 < 174.0 58.0 0.1 2.4e-05 1.3e-05 5e-05 150 -99.0 3.53 0 43 15.0 4.6e-06 3.53 -99.0 -4.614391777727048 . 0.1718692228952681 0.16019101151627774
J15450887-3417333 G6 I_14 . 738.0 79.0 . 506.0 125.0 1.7 0.00077425 0.00025 0.002 150 0.14 10.90 1 45 46.27 1.51e-05 10.90 0.058 -3.0878668531969504 . 0.20535996532787443 0.23652926447058228
Sz68 G10 I_15 . 915.0 131.0 . 444.0 131.0 0.7 0.00068 0.0002 0.0015 150 2.13 35.30 0 34 150.37 7.184e-05 35.30 5.129 -3.167669932897761 . 0.2236673813946852 0.23767979660779548
Sz69 M35 I_16 . 466.0 81.0 < 102.0 34.0 0.2 3.4e-05 1.8e-05 7e-05 150 0.19 3.99 0 69 16.96 5.2e-06 3.99 0.088 -4.454588217609796 . 0.14264774539432343 0.1329380537478086
Sz71 M15 III_1001 . 1298.0 103.0 < 111.0 37.0 0.3 9.6e-05 7e-05 0.0003 150 0.42 39.00 1 40 166.04 8.477e-05 39.00 0.309 -3.9229213007061734 . 0.16530032022389227 0.11097060430843794
Sz72 M20 III_1002 < 108.0 36.0 < 126.0 42.0 <0.3 0.0001965 0.0 0.0 150 0.38 3.31 0 53 14.1 4.3e-06 3.31 0.252 -5.0028114579685985 < 0.14315456428412787 0.14315456428412787
Sz73 G20 III_1003 < 171.0 57.0 < 195.0 65.0 <1.0 0.00030125 0.0 0.0 150 0.82 7.15 1 48 30.43 9.7e-06 7.15 0.419 -4.79332782496957 < 0.14315456428412787 0.14315456428412787
Sz74 M26 III_1004 < 111.0 37.0 < 132.0 44.0 <0.3 0.0002055 0.0 0.0 150 0.29 4.92 0 81 20.94 7e-06 4.92 1.043 -4.598778032788366 < -0.2825488735443509 0.6274684640220034
Sz81 M56 III_1013 < 108.0 36.0 < 123.0 41.0 <0.3 0.00033725 0.0 0.0 150 0.25 0.64 0 -99 9.46 2.8e-06 2.22 0.22 -5.0028114579685985 < 0.14315456428412787 0.14315456428412787
Sz83 G21 III_1005 . 3078.0 155.0 . 994.0 152.0 2.8 0.00151625 0.00048 0.004 150 0.75 100.00 1 0 426.9 0.0004097 100.00 1.313 -2.673059441457572 . 0.17824035859990875 0.15171494783499775
Sz84 M47 III_1006 . 1173.0 102.0 < 150.0 50.0 0.3 0.00011 6e-05 0.00022 150 0.18 7.67 1 75 32.64 1.6e-05 7.67 0.122 -3.8291886972243865 . 0.19594923288455013 0.24112964616320218
Sz129 M6 III_1014 . 636.0 80.0 < 129.0 43.0 0.2 4.6e-05 3e-05 9e-05 150 0.8 42.60 1 32 181.12 9.801e-05 42.60 0.372 -4.299823897438641 . 0.12067121811724195 0.11351282535178643
J15592523-4235066 M40 IV_142 < 108.0 36.0 < 123.0 41.0 <0.3 0.000192 0.0 0.0 150 0.12 <0.17 1 -99 -0.03 -99.99999 <0.17 0.019 -5.0028114579685985 < 0.14315456428412787 0.14315456428412787
RYLup G14 III_1015 . 5019.0 263.0 . 1054.0 162.0 2.1 0.0016075 0.00048 0.004 150 1.47 64.70 1 68 275.5 0.0001973 64.70 1.66 -2.6369915702966944 . 0.17844109754828968 0.15195351297915005
J16000060-4221567 M18 IV_144 < 114.0 38.0 < 135.0 45.0 <0.3 0.00021025 0.0 0.0 150 0.19 0.56 0 -99 2.4 7e-07 0.56 0.087 -4.978164230311778 < 0.14315456428412787 0.14315456428412787
J16000236-4222145 M27 IV_145 . 1890.0 126.0 < 111.0 37.0 0.6 0.000142 0.00011 0.0007 150 0.24 28.20 1 65 119.85 4.919e-05 28.20 0.148 -3.661663815816678 . 0.20647060341926313 0.1319344963135561
J16002612-4153553 M13 IV_147 < 75.0 25.0 < 126.0 42.0 <0.3 0.0001965 0.0 0.0 150 0.14 0.28 0 -99 1.2 4e-07 0.28 0.066 -5.1690386400382335 < 0.14315456428412787 0.14315456428412787
Sz130 M22 IV_148 . 487.0 85.0 < 138.0 46.0 0.2 3.6e-05 1.1e-05 5e-05 150 0.37 1.45 1 53 6.19 1.9e-06 1.45 0.16 -4.432654153984779 . 0.14129786798914143 0.13206338651309887
MYLup G8 IV_150 . 874.0 154.0 < 267.0 89.0 0.5 8.25e-05 5e-05 0.00021 150 1.02 41.60 1 73 176.81 0.0005155 41.60 0.776 -4.003979166605614 . 0.1585858984393045 0.24480362597701652
Sz131 M19 IV_151 < 111.0 37.0 < 126.0 42.0 <1.0 0.0001965 0.0 0.0 150 0.3 2.01 0 0 8.57 2.5e-06 2.01 0.132 -4.990321288536698 < 0.14315456428412787 0.14315456428412787
J16011549-4152351 G43 IV_153 . 3320.0 317.0 . 1558.0 182.0 6.7 0.002374 0.0015 0.05 150 -99.0 19.30 1 66 82.07 2.8e-05 19.30 -99.0 -2.3964937538971536 . 0.21030678228662578 0.14129892381670617
Sz133 G12 IV_159 . 746.0 108.0 < 240.0 80.0 0.3 7.25e-05 3e-05 9e-05 150 -99.0 16.20 1 78 69.05 8.01e-05 16.20 0.07 -4.0606747013270805 . 0.13744844057715785 0.2490745353324728
Sz88A M5 III_1007 < 117.0 39.0 < 141.0 47.0 <1.0 0.000386 0.0 0.0 200 0.57 3.74 0 56 8.94 4.9e-06 3.74 0.488 -4.704035942530943 < 0.14315456428412787 0.14315456428412787
Sz88B M39 III_1008 < 72.0 24.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.2 <0.33 0 -99 -0.2 -99.99999 <0.33 0.118 -4.925360830024585 < 0.14315456428412698 0.14315456428412698
J16070384-3911113 M48 III_18 . 1242.0 98.0 . 295.0 69.0 1.4 0.00080225 0.00025 0.002 200 0.1 1.89 1 77 4.52 2.15e-06 1.89 0.01 -2.7797053866053183 . 0.24992277948451413 0.46800022860972657
J16070854-3914075 G28 III_19 . 1232.0 173.0 < 183.0 61.0 0.9 0.0002025 0.00018 0.004 200 -99.0 38.50 1 73 92.07 0.0004417 38.50 -99.0 -3.4524610883782745 . 0.20933415010588416 0.24980159992216255
Sz90 G22 III_21 . 433.0 98.0 < 186.0 62.0 0.3 5.6e-05 3.5e-05 0.0001 200 0.79 9.12 1 0 21.83 1.24e-05 9.12 0.661 -4.204827779437965 . 0.14063437458268155 0.13650968872383087
J16073773-3921388 M49 III_26 < 105.0 35.0 < 126.0 42.0 <1.0 0.0003455 0.0 1e-05 200 0.11 0.80 1 -99 1.91 1e-06 0.80 0.02 -4.753366475773177 < 0.14315456428412787 0.14315456428412787
Sz95 M14 III_28 . 217.0 52.0 < 120.0 40.0 0.2 2.8e-05 1.5e-05 6e-05 200 0.33 1.70 0 -99 4.08 2.2e-06 1.70 0.417 -4.548599471407306 . 0.16535690913066753 0.15485746405357648
J16075475-3915446 G29 III_30 < 147.0 49.0 < 171.0 57.0 <1.0 0.000467 0.0 0.0 200 -99.0 1.07 0 -99 2.55 1.3e-06 1.07 -99.0 -4.599981344794342 < 0.14315456428412698 0.14315456428412698
J16080017-3902595 M50 III_33 < 105.0 35.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.13 1.26 0 -99 3.01 1.6e-06 1.26 0.057 -4.753366475773177 < 0.14315456428412787 0.14315456428412787
J16080175-3912316 G16 III_34 < 165.0 55.0 < 204.0 68.0 <1.0 0.00055625 0.0 0.0 200 -99.0 <0.43 0 -99 0.28 1e-07 <0.43 -99.0 -4.54732333205948 < 0.14315456428412698 0.14315456428412698
Sz96 M16 III_37 < 111.0 37.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.46 1.70 0 -99 4.08 2.2e-06 1.70 0.692 -4.728034255250476 < 0.14315456428412787 0.14315456428412787
J16081497-3857145 M41 III_38 . 170.0 42.0 < 114.0 38.0 0.1 2.2e-05 1e-05 4.5e-05 200 0.1 3.48 1 0 8.32 3.78e-06 3.48 0.009 -4.670066456591929 . 0.17510749452077676 0.1622510968990308
Sz97 M29 III_40 < 105.0 35.0 < 129.0 43.0 <1.0 0.0003535 0.0 0.0 200 0.25 1.94 0 -99 4.64 2.5e-06 1.94 0.169 -4.753366475773177 < 0.14315456428412787 0.14315456428412787
Sz98 G15 III_41 . 506.0 120.0 < 186.0 62.0 0.4 6.6e-05 4e-05 0.0001 200 0.74 99.10 1 47 237.29 0.0004017 99.10 2.512 -4.127300078926431 . 0.13950449295778897 0.13677839927660118
Sz99 M30 III_42 < 102.0 34.0 < 111.0 37.0 <1.0 0.000305 0.0 0.0 200 0.22 <0.28 0 -99 -0.04 -99.99999 <0.28 0.074 -4.766580811626577 < 0.14315456428412787 0.14315456428412787
Sz100 M51 III_43 . 1050.0 78.0 < 105.0 35.0 0.5 0.00014 0.00011 0.0007 200 0.18 22.90 1 0 54.85 3.485e-05 22.90 0.169 -3.670301093888821 . 0.20615859886595533 0.1330097778598932
J160828.1-391310 M52 III_44 < 72.0 24.0 < 111.0 37.0 <1.0 0.000305 0.0 0.0 200 0.1 <0.30 0 -99 0.23 1e-07 <0.30 0.071 -4.925360830024585 < 0.14315456428412698 0.14315456428412698
Sz103 M31 III_49 < 108.0 36.0 < 120.0 40.0 <1.0 0.00032925 0.0 0.0 200 0.25 4.82 0 51 11.54 5.38e-06 4.82 0.188 -4.740524424682376 < 0.14315456428412787 0.14315456428412787
J16083070-3828268 G9 III_50 . 6682.0 287.0 . 1560.0 212.0 7.1 0.00600975 0.004 0.1 200 1.81 56.50 1 74 135.31 0.0009546 56.50 3.02 -1.6205707835466931 . 1.477583030560988 0.5754868143461269
Sz104 M44 III_51 < 111.0 37.0 < 132.0 44.0 <1.0 0.00036175 0.0 0.0 200 0.18 1.32 0 -99 3.15 1.38e-06 1.32 0.102 -4.728034255250476 < 0.14315456428412787 0.14315456428412787
J160831.1-385600 G30 III_52 < 159.0 53.0 < 198.0 66.0 <1.0 0.00054 0.0 0.0 200 -99.0 <0.40 0 -99 0.25 1e-07 <0.40 -99.0 -4.564209064937076 < 0.14315456428412787 0.14315456428412787
V856Sco G3 III_53 < 180.0 60.0 < 219.0 73.0 <1.0 0.000597 0.0 0.0 200 2.84 23.30 0 -99 55.81 3.587e-05 23.30 70.0 -4.507658093731874 < 0.14315456428412787 0.14315456428412787
Sz106 M8 III_57 < 114.0 38.0 < 141.0 47.0 <1.0 0.000386 0.0 0.0 200 0.51 0.83 0 -99 1.99 1e-06 0.83 0.098 -4.715877197025556 < 0.14315456428412698 0.14315456428412698
